Name,Position,Team,ProjectedPoints,Price
Phillip Dorsett,WR,IND,45.2,1.0
Brandon Coleman,WR,NOS,44.3,1.0
Braxton Miller,WR,HOU,43.3,1.0
Malcolm Mitchell,WR,NEP,42.9,1.0
Cecil Shorts,WR,FA,40.4,1.0
Dontrelle Inman,WR,LAC,38.2,1.0
Andre Holmes,WR,BUF,36.6,1.0
Carlos Henderson,WR,DEN,35.9,1.0
Jaelen Strong,WR,HOU,35.8,1.0
Mike Williams,WR,LAC,34.2,1.0
Jaron Brown,WR,ARI,34.1,1.0
Chris Godwin,WR,TBB,32.8,1.0
Victor Cruz,WR,CHI,32.2,1.0
Kamar Aiken,WR,IND,32.0,1.0
Brice Butler,WR,DAL,31.0,1.0
Justin Hardy,WR,ATL,30.7,1.0
JuJu Smith-Schuster,WR,PIT,30.4,1.0
Russell Shepard,WR,CAR,30.1,1.0
Cordarrelle Patterson,WR,OAK,29.8,1.0
Jalin Marshall,WR,NYJ,29.6,1.0
Chester Rogers,WR,IND,29.3,1.0
Geronimo Allison,WR,GBP,29.2,1.0
Ricardo Louis,WR,CLE,28.8,1.0
Dede Westbrook,WR,JAC,28.1,1.0
Stevie Johnson,WR,FA,27.4,1.0
Michael Floyd,WR,MIN,27.2,1.0
Aldrick Robinson,WR,SFO,25.8,1.0
Brian Quick,WR,WAS,25.7,1.0
Taywan Taylor,WR,TEN,25.4,1.0
Deonte Thompson,WR,CHI,25.4,1.0
Andrew Hawkins,WR,NEP,23.8,1.0
Sammie Coates,WR,PIT,23.3,1.0
Rod Streater,WR,BUF,22.3,1.0
Cobi Hamilton,WR,PIT,21.6,1.0
Chad Williams,WR,ARI,21.1,1.0
Vincent Jackson,WR,TBB,20.7,1.0
Chad Hansen,WR,NYJ,20.1,1.0
T.J. Jones,WR,DET,19.8,1.0
Rashard Higgins,WR,CLE,19.0,1.0
Corey Brown,WR,BUF,18.9,1.0
Jarius Wright,WR,MIN,18.7,1.0
Justin Hunter,WR,PIT,18.7,1.0
Michael Campanaro,WR,BAL,17.9,1.0
Kenbrell Thompkins,WR,NYJ,17.8,1.0
Darrius Heyward-Bey,WR,PIT,17.5,1.0
Tajae Sharpe,WR,TEN,17.4,1.0
Roger Lewis,WR,NYG,17.4,1.0
Bennie Fowler,WR,DEN,17.0,1.0
Jordan Taylor,WR,DEN,15.5,1.0
Chris Harper,WR,NYJ,15.3,1.0
Cody Latimer,WR,DEN,15.0,1.0
Chris Moore,WR,BAL,14.9,1.0
Demarcus Robinson,WR,KCC,14.8,1.0
Ryan Grant,WR,WAS,14.7,1.0
Lucky Whitehead,WR,NYJ,14.6,1.0
Kenny Bell,WR,BAL,14.2,1.0
Javontee Herndon,WR,LAC,14.0,1.0
Eddie Royal,WR,CHI,13.9,1.0
Tanner McEvoy,WR,SEA,13.7,1.0
Andre Roberts,WR,ATL,13.6,1.0
Brandon Tate,WR,BUF,12.9,1.0
Quinton Patton,WR,NYJ,12.8,1.0
Tavarres King,WR,NYG,12.3,1.0
Josh Reynolds,WR,LAR,11.8,1.0
Pharoh Cooper,WR,LAR,11.7,1.0
Myles White,WR,NYJ,11.6,1.0
Josh Huff,WR,TBB,11.3,1.0
Greg Salas,WR,FA,11.2,1.0
Cody Core,WR,CIN,10.8,1.0
Walter Powell,WR,BUF,10.8,1.0
Mack Hollins,WR,PHI,10.8,1.0
Rashad Greene,WR,JAC,10.7,1.0
Nick Williams,WR,ATL,10.6,1.0
Ryan Switzer,WR,DAL,10.6,1.0
Leonte Carroo,WR,MIA,10.4,1.0
Brenton Bersin,WR,CAR,10.4,1.0
Jace Billingsley,WR,DET,10.1,1.0
Jonathan Krause,WR,TEN,9.9,1.0
Ishmael Zamora,WR,OAK,9.8,1.0
Seantavius Jones,WR,KCC,9.7,1.0
Josh Bellamy,WR,CHI,9.3,1.0
Trent Taylor,WR,SFO,9.2,1.0
Austin Carr,WR,NEP,9.1,1.0
Dwayne Harris,WR,NYG,8.8,1.0
Harry Douglas,WR,TEN,8.7,1.0
Jeff Janis,WR,GBP,8.7,1.0
Jehu Chesson,WR,KCC,8.6,1.0
Jake Lampman,WR,NOS,8.5,1.0
Darius Jennings,WR,TEN,8.4,1.0
Arrelious Benn,WR,JAC,8.2,1.0
David Moore,WR,SEA,8.2,1.0
Rodney Adams,WR,MIN,8.2,1.0
Freddie Martino,WR,TBB,8.1,1.0
Tevaun Smith,WR,IND,8.0,1.0
Keshawn Martin,WR,DET,7.8,1.0
Isaac Fruechte,WR,MIN,7.8,1.0
Bruce Ellington,WR,HOU,7.8,1.0
Corey Fuller,WR,NOS,7.6,1.0
Aaron Dobson,WR,ARI,7.5,1.0
Wendall Williams,WR,HOU,7.5,1.0
Daniel Braverman,WR,CHI,7.3,1.0
Demarcus Ayers,WR,PIT,7.3,1.0
Noah Brown,WR,DAL,7.2,1.0
Mario Alford,WR,CLE,7.2,1.0
Chris Matthews,WR,BAL,7.2,1.0
Robert Davis,WR,WAS,7.1,1.0
Paul Turner,WR,PHI,7.0,1.0
Shane Wynn,WR,JAC,6.9,1.0
Eric Weems,WR,TEN,6.9,1.0
Jeremy Butler,WR,BUF,6.5,1.0
Jared Abbrederis,WR,DET,6.5,1.0
De'Anthony Thomas,WR,KCC,6.4,1.0
Tommylee Lewis,WR,NOS,6.2,1.0
Isaiah Burse,WR,LAC,6.2,1.0
DeAndre Smelter,WR,SFO,6.1,1.0
Aaron Burbridge,WR,SFO,6.0,1.0
Frankie Hammond,WR,NYJ,6.0,1.0
Bryce Treggs,WR,PHI,6.0,1.0
Dezmin Lewis,WR,BUF,5.7,1.0
Amara Darboh,WR,SEA,5.7,1.0
Stacy Coley,WR,MIN,5.6,1.0
Alex Erickson,WR,CIN,5.5,1.0
Quan Bray,WR,IND,5.5,1.0
Trevor Davis,WR,GBP,5.4,1.0
Tre McBride,WR,TEN,5.3,1.0
Jordan Payton,WR,CLE,5.2,1.0
Lance Lenoir,WR,DAL,5.2,1.0
Brittan Golden,WR,ARI,5.2,1.0
DeAngelo Yancey,WR,GBP,5.1,1.0
Donteea Dye,WR,TBB,5.1,1.0
Shelton Gibson,WR,PHI,5.0,1.0
Victor Bolden,WR,SFO,5.0,1.0
Isaiah McKenzie,WR,DEN,5.0,1.0
Damiere Byrd,WR,CAR,4.9,1.0
Nelson Spruce,WR,LAR,4.8,1.0
Maurice Harris,WR,WAS,4.8,1.0
Rashad Ross,WR,SFO,4.7,1.0
Jeremy Ross,WR,ARI,4.7,1.0
James Wright,WR,CLE,4.3,1.0
Josh Malone,WR,CIN,4.2,1.0
Louis Murphy,WR,SFO,3.8,1.0
Vince Mayle,WR,BAL,3.7,1.0
Stedman Bailey,WR,FA,3.5,1.0
Johnny Holton,WR,OAK,3.5,1.0
Malachi Dupre,WR,GBP,3.5,1.0
Kalif Raymond,WR,DEN,3.0,1.0
Jakeem Grant,WR,MIA,3.0,1.0
Paul McRoberts,WR,LAR,2.9,1.0
Marc Mariani,WR,FA,2.7,1.0
Kasen Williams,WR,SEA,2.6,1.0
Kevin Smith,WR,SEA,2.5,1.0
Geremy Davis,WR,LAC,2.3,1.0
Anquan Boldin,WR,BUF,2.2,1.0
Marcus Johnson,WR,PHI,2.2,1.0
Rashawn Scott,WR,MIA,1.7,1.0
Josh Gordon,WR,CLE,0.9,1.0
Percy Harvin,WR,FA,0.5,1.0
Devin Street,WR,HOU,0.4,1.0
Matt Slater,WR,NEP,0.1,1.0
Tony Washington,WR,JAC,0.1,1.0
Andre Jerome Caldwell,WR,DET,0.0,1.0
Jerome Simpson,WR,SFO,0.0,1.0
James Jones,WR,FA,0.0,1.0
Jacoby Jones,WR,PIT,0.0,1.0
Dwayne Bowe,WR,CLE,0.0,1.0
Miles Austin,WR,PHI,0.0,1.0
Marques Colston,WR,NOS,0.0,1.0
Jason Avant,WR,KCC,0.0,1.0
Derek Hagan,WR,TEN,0.0,1.0
Greg Jennings,WR,MIA,0.0,1.0
Lance Moore,WR,ATL,0.0,1.0
Nate Washington,WR,NEP,0.0,1.0
Joshua Cribbs,WR,IND,0.0,1.0
Roddy White,WR,ATL,0.0,1.0
Wes Welker,WR,LAR,0.0,1.0
Jerricho Cotchery,WR,CAR,0.0,1.0
Andre Johnson,WR,TEN,0.0,1.0
Steve Smith Sr.,WR,BAL,0.0,1.0
Dom Williams,WR,PHI,0.0,1.0
Tim White,WR,BAL,0.0,1.0
Griff Whalen,WR,BAL,0.0,1.0
Derel Walker,WR,TBB,0.0,1.0
Mike Thomas,WR,LAR,0.0,1.0
Damore'ea Stringfellow,WR,MIA,0.0,1.0
Canaan Severin,WR,NYG,0.0,1.0
Artavis Scott,WR,LAC,0.0,1.0
Travis Rudolph,WR,NYG,0.0,1.0
Fred Ross,WR,CAR,0.0,1.0
Brandon Reilly,WR,BUF,0.0,1.0
Rueben Randle,WR,CHI,0.0,1.0
Kevin Norwood,WR,NYG,0.0,1.0
Speedy Noil,WR,SEA,0.0,1.0
Drew Morgan,WR,MIA,0.0,1.0
Riley McCarron,WR,HOU,0.0,1.0
Max McCaffrey,WR,GBP,0.0,1.0
K.J. Maye,WR,NEP,0.0,1.0
Bradley Marquez,WR,LAR,0.0,1.0
Gabe Marks,WR,NYJ,0.0,1.0
Devin Lucien,WR,NEP,0.0,1.0
Keevan Lucas,WR,PHI,0.0,1.0
Kenny Lawler,WR,SEA,0.0,1.0
Jerome Lane,WR,NYG,0.0,1.0
Jamaal Jones,WR,LAC,0.0,1.0
Cayleb Jones,WR,MIN,0.0,1.0
Charles Johnson,WR,CAR,0.0,1.0
Calvin Johnson,WR,FA,0.0,1.0
Bug Howard,WR,IND,0.0,1.0
Krishawn Hogan,WR,ARI,0.0,1.0
Keon Hatcher,WR,OAK,0.0,1.0
Trey Griffey,WR,MIA,0.0,1.0
Tanner Gentry,WR,CHI,0.0,1.0
Keyarris Garrett,WR,CAR,0.0,1.0
Devin Fuller,WR,ATL,0.0,1.0
Amba Etta-Tawo,WR,JAC,0.0,1.0
Quincy Enunwa,WR,NYJ,0.0,1.0
Travin Dural,WR,NOS,0.0,1.0
Gehrig Dieter,WR,KCC,0.0,1.0
Titus Davis,WR,CHI,0.0,1.0
Keelan Cole,WR,JAC,0.0,1.0
Kaelin Clay,WR,CAR,0.0,1.0
Michael Clark,WR,GBP,0.0,1.0
DeAndre Carter,WR,SFO,0.0,1.0
KD Cannon,WR,LAR,0.0,1.0
Deante Burton,WR,ATL,0.0,1.0
Kendrick Bourne,WR,SFO,0.0,1.0
Moritz Boehringer,WR,MIN,0.0,1.0
Rasheed Bailey,WR,CLE,0.0,1.0
Quincy Adeboyejo,WR,BAL,0.0,1.0
Devin Hester,WR,SEA,0.0,1.0
Andy Jones,WR,DAL,-0.3,1.0
Keenan Reynolds,WR,BAL,-0.7,1.0
Justin Tucker,K,BAL,147.0,9.2
Stephen Gostkowski,K,NEP,146.6,9.0
Matt Bryant,K,ATL,136.9,3.8
Dan Bailey,K,DAL,132.6,2.7
Adam Vinatieri,K,IND,132.9,2.2
Matt Prater,K,DET,131.2,1.9
Mason Crosby,K,GBP,129.0,1.8
Sebastian Janikowski,K,OAK,125.6,1.7
Dustin Hopkins,K,WAS,124.1,1.3
Caleb Sturgis,K,PHI,125.1,1.3
Wil Lutz,K,NOS,127.1,1.2
Blair Walsh,K,SEA,127.2,1.1
Chris Boswell,K,PIT,123.4,1.0
Brandon McManus,K,DEN,120.2,1.0
Josh Lambo,K,LAC,119.6,1.0
Cairo Santos,K,KCC,118.8,1.0
Jason Myers,K,JAC,118.4,1.0
Kai Forbath,K,MIN,117.7,1.0
Nick Novak,K,HOU,115.1,1.0
Stephen Hauschka,K,BUF,112.8,1.0
Phil Dawson,K,ARI,110.4,1.0
Nick Folk,K,TBB,110.4,1.0
Chandler Catanzaro,K,NYJ,107.8,1.0
Ryan Succop,K,TEN,106.6,1.0
Jake Elliott,K,CIN,104.2,1.0
Connor Barth,K,CHI,102.3,1.0
Aldrick Rosas,K,NYG,99.6,1.0
Robbie Gould,K,SFO,99.5,1.0
Greg Zuerlein,K,LAR,98.9,1.0
Harrison Butker,K,CAR,97.8,1.0
Andrew Franks,K,MIA,92.4,1.0
Graham Gano,K,CAR,91.9,1.0
Mike Nugent,K,NYG,91.3,1.0
Cody Parkey,K,CLE,89.7,1.0
Zane Gonzalez,K,CLE,87.7,1.0
Randy Bullock,K,CIN,82.3,1.0
Roberto Aguayo,K,CHI,71.5,1.0
Dan Carpenter,K,BUF,0.0,1.0
Garrett Hartley,K,PIT,0.0,1.0
Shaun Suisham,K,PIT,0.0,1.0
Josh Scobee,K,NOS,0.0,1.0
Josh Brown,K,NYG,0.0,1.0
Billy Cundiff,K,CLE,0.0,1.0
Shayne Graham,K,ATL,0.0,1.0
Rob Gronkowski,TE,NEP,146.0,35.9
Travis Kelce,TE,KCC,124.2,23.3
Greg Olsen,TE,CAR,121.2,21.5
Jordan Reed,TE,WAS,114.6,17.7
Jimmy Graham,TE,SEA,111.4,16.2
Tyler Eifert,TE,CIN,103.6,11.5
Kyle Rudolph,TE,MIN,102.8,10.9
Delanie Walker,TE,TEN,99.7,10.1
Martellus Bennett,TE,GBP,95.9,6.9
Zach Ertz,TE,PHI,94.1,6.5
Hunter Henry,TE,LAC,92.6,6.2
Jack Doyle,TE,IND,85.8,3.9
Eric Ebron,TE,DET,87.2,3.4
Austin Hooper,TE,ATL,81.0,1.8
Coby Fleener,TE,NOS,81.7,1.6
Jason Witten,TE,DAL,77.2,1.5
Antonio Gates,TE,LAC,72.7,1.5
C.J. Fiedorowicz,TE,HOU,70.6,1.4
Jared Cook,TE,OAK,71.0,1.3
Cameron Brate,TE,TBB,76.8,1.1
Charles Clay,TE,BUF,73.6,1.0
Julius Thomas,TE,MIA,71.8,1.0
O.J. Howard,TE,TBB,66.4,1.0
Evan Engram,TE,NYG,64.9,1.0
Zach Miller,TE,CHI,64.3,1.0
David Njoku,TE,CLE,63.5,1.0
Austin Seferian-Jenkins,TE,NYJ,55.8,1.0
Jermaine Gresham,TE,ARI,54.1,1.0
Jesse James,TE,PIT,53.7,1.0
Ben Watson,TE,BAL,49.1,1.0
Tyler Higbee,TE,LAR,49.0,1.0
Erik Swoope,TE,IND,47.9,1.0
Vance McDonald,TE,SFO,46.4,1.0
Vernon Davis,TE,WAS,45.8,1.0
Dwayne Allen,TE,NEP,44.9,1.0
Ryan Griffin,TE,HOU,36.4,1.0
Virgil Green,TE,DEN,35.2,1.0
Marcedes Lewis,TE,JAC,32.2,1.0
Clive Walford,TE,OAK,31.4,1.0
Garrett Celek,TE,SFO,31.3,1.0
A.J. Derby,TE,DEN,30.7,1.0
Mychal Rivera,TE,JAC,30.3,1.0
Josh Hill,TE,NOS,29.6,1.0
Dion Sims,TE,CHI,28.5,1.0
Seth DeValve,TE,CLE,27.9,1.0
Trey Burton,TE,PHI,27.0,1.0
Xavier Grimble,TE,PIT,25.6,1.0
Adam Shaheen,TE,CHI,25.5,1.0
George Kittle,TE,SFO,25.4,1.0
Gerald Everett,TE,LAR,25.3,1.0
Nick Boyle,TE,BAL,25.3,1.0
Maxx Williams,TE,BAL,24.9,1.0
Jonnu Smith,TE,TEN,24.5,1.0
Demetrius Harris,TE,KCC,21.0,1.0
Lance Kendricks,TE,GBP,20.8,1.0
Levine Toilolo,TE,ATL,20.7,1.0
Luke Willson,TE,SEA,19.2,1.0
Greg Scruggs,TE,NEP,19.0,1.0
Stephen Anderson,TE,HOU,18.2,1.0
Will Tye,TE,NYG,17.8,1.0
Darren Fells,TE,DET,17.4,1.0
Anthony Fasano,TE,MIA,16.7,1.0
Ed Dickson,TE,CAR,16.3,1.0
Richard Rodgers,TE,GBP,16.0,1.0
Troy Niklas,TE,ARI,15.5,1.0
Brent Celek,TE,PHI,15.1,1.0
Tim Wright,TE,DET,14.7,1.0
Jordan Leggett,TE,NYJ,13.8,1.0
Jacob Tamme,TE,ATL,12.2,1.0
Jordan Cameron,TE,FA,12.1,1.0
Jeff Heuerman,TE,DEN,12.0,1.0
Michael Roberts,TE,DET,11.8,1.0
Nick O'Leary,TE,BUF,11.3,1.0
MarQueis Gray,TE,MIA,10.8,1.0
Rhett Ellison,TE,NYG,10.8,1.0
Ben Koyack,TE,JAC,10.5,1.0
Jace Amaro,TE,TEN,10.0,1.0
Gavin Escobar,TE,KCC,9.9,1.0
C.J. Uzomah,TE,CIN,9.9,1.0
David Morgan,TE,MIN,9.6,1.0
Logan Paulsen,TE,SFO,9.4,1.0
Jerell Adams,TE,NYG,8.9,1.0
Daniel Brown,TE,CHI,8.7,1.0
Jake Butt,TE,DEN,8.6,1.0
Geoff Swaim,TE,DAL,8.3,1.0
Phillip Supernaw,TE,TEN,8.2,1.0
Tyler Kroft,TE,CIN,8.1,1.0
Eric Tomlinson,TE,NYJ,8.0,1.0
Matt Lengel,TE,NEP,7.9,1.0
Lee Smith,TE,OAK,7.8,1.0
Bucky Hodges,TE,MIN,7.8,1.0
Randall Telfer,TE,CLE,7.7,1.0
James Hanna,TE,DAL,7.7,1.0
Nick Vannett,TE,SEA,7.4,1.0
Michael Hoomanawanui,TE,NOS,7.4,1.0
Brandon Myers,TE,FA,7.3,1.0
Rico Gathers,TE,DAL,7.3,1.0
Asante Cleveland,TE,LAC,7.1,1.0
Larry Donnell,TE,BAL,7.1,1.0
Mo Alie-Cox,TE,IND,6.9,1.0
Temarrick Hemingway,TE,LAR,6.8,1.0
Cooper Helfet,TE,OAK,6.8,1.0
Joshua Perkins,TE,ATL,6.6,1.0
Neal Sterling,TE,JAC,6.6,1.0
Ross Travis,TE,KCC,6.5,1.0
D.J. Tialavea,TE,ATL,6.5,1.0
Brandon Williams,TE,IND,6.3,1.0
Blake Bell,TE,SFO,6.3,1.0
Alex Ellis,TE,JAC,6.2,1.0
Ifeanyi Momah,TE,ARI,6.0,1.0
Jeremy Sprinkle,TE,WAS,5.9,1.0
Logan Thomas,TE,BUF,5.9,1.0
Mason Schreck,TE,CIN,5.6,1.0
Niles Paul,TE,WAS,5.5,1.0
Alan Cross,TE,TBB,5.3,1.0
David Johnson,TE,PIT,5.3,1.0
Hakeem Valles,TE,ARI,5.3,1.0
Eric Saubert,TE,ATL,5.1,1.0
James O'Shaughnessy,TE,NEP,4.8,1.0
Luke Stocker,TE,TBB,4.8,1.0
Clay Harbor,TE,NOS,4.5,1.0
Brandon Bostick,TE,FA,4.5,1.0
Khari Lee,TE,DET,4.4,1.0
John Phillips,TE,NOS,4.3,1.0
Sean McGrath,TE,LAC,4.2,1.0
Ben Braunecker,TE,CHI,4.2,1.0
Cole Wick,TE,DET,3.9,1.0
Derek Carrier,TE,WAS,3.8,1.0
Braedon Bowman,TE,NOS,3.7,1.0
Chris Manhertz,TE,CAR,3.6,1.0
Matt LaCosse,TE,NYG,3.6,1.0
MyCole Pruitt,TE,CHI,2.9,1.0
Je'Ron Hamm,TE,SFO,2.2,1.0
Chris Gragg,TE,NYJ,1.1,1.0
Cory Harkey,TE,LAR,1.0,1.0
Robert Housler,TE,FA,0.7,1.0
Garrett Graham,TE,FA,0.4,1.0
Matthew Mulligan,TE,DET,0.3,1.0
Wes Saxton,TE,WAS,0.1,1.0
Beau Sandland,TE,GBP,0.0,1.0
Gerald Christian,TE,ARI,0.0,1.0
Brody Eldridge,TE,CHI,0.0,1.0
Brandon Pettigrew,TE,DET,0.0,1.0
Bear Pascoe,TE,NEP,0.0,1.0
Chase Coffman,TE,IND,0.0,1.0
James Casey,TE,DEN,0.0,1.0
Kellen Davis,TE,NYJ,0.0,1.0
Gary Barnidge,TE,CLE,0.0,1.0
Craig Stevens,TE,TEN,0.0,1.0
Fred Davis,TE,WAS,0.0,1.0
Scott Chandler,TE,NEP,0.0,1.0
Matt Spaeth,TE,PIT,0.0,1.0
Daniel Fells,TE,NYG,0.0,1.0
Owen Daniels,TE,DEN,0.0,1.0
Alex Smith,TE,WAS,0.0,1.0
Kellen Winslow,TE,NYJ,0.0,1.0
Darren Waller,TE,BAL,0.0,1.0
Nick Truesdell,TE,MIN,0.0,1.0
Robert Tonyan,TE,DET,0.0,1.0
Tyrone Swoopes,TE,SEA,0.0,1.0
Ricky Seals-Jones,TE,ARI,0.0,1.0
Scott Orndoff,TE,DET,0.0,1.0
Taylor McNamara,TE,CLE,0.0,1.0
Henry Krieger-Coble,TE,IND,0.0,1.0
Gabe Holmes,TE,OAK,0.0,1.0
Jacob Hollister,TE,NEP,0.0,1.0
Clark Harris,TE,CIN,0.0,1.0
Thomas Duarte,TE,MIA,0.0,1.0
Darrell Daniels,TE,IND,0.0,1.0
Orson Charles,TE,KCC,0.0,1.0
Cethan Carter,TE,CIN,0.0,1.0
Jeff Cumberland,TE,LAC,-0.1,1.0
Kansas City Chiefs,DEF,KCC,128.8,7.9
Denver Broncos,DEF,DEN,129.0,7.6
Arizona Cardinals,DEF,ARI,126.1,7.4
Carolina Panthers,DEF,CAR,116.6,5.0
New England Patriots,DEF,NEP,119.9,4.9
Minnesota Vikings,DEF,MIN,119.7,4.6
Seattle Seahawks,DEF,SEA,118.7,4.5
Philadelphia Eagles,DEF,PHI,118.8,4.4
Houston Texans,DEF,HOU,119.7,3.8
Baltimore Ravens,DEF,BAL,112.0,3.2
New York Giants,DEF,NYG,113.6,3.0
Jacksonville Jaguars,DEF,JAC,112.6,2.1
Tampa Bay Buccaneers,DEF,TBB,111.2,1.0
Cincinnati Bengals,DEF,CIN,108.9,1.0
Los Angeles Chargers,DEF,LAC,108.9,1.0
Pittsburgh Steelers,DEF,PIT,107.9,1.0
Miami Dolphins,DEF,MIA,104.8,1.0
Oakland Raiders,DEF,OAK,104.2,1.0
Green Bay Packers,DEF,GBP,104.0,1.0
Washington Redskins,DEF,WAS,103.8,1.0
Dallas Cowboys,DEF,DAL,103.3,1.0
Tennessee Titans,DEF,TEN,102.9,1.0
Los Angeles Rams,DEF,LAR,102.8,1.0
Atlanta Falcons,DEF,ATL,102.4,1.0
Indianapolis Colts,DEF,IND,97.5,1.0
Buffalo Bills,DEF,BUF,96.1,1.0
Detroit Lions,DEF,DET,91.1,1.0
Chicago Bears,DEF,CHI,90.2,1.0
San Francisco 49ers,DEF,SFO,89.3,1.0
New Orleans Saints,DEF,NOS,89.2,1.0
New York Jets,DEF,NYJ,87.0,1.0
Cleveland Browns,DEF,CLE,86.3,1.0
